child_age,monthly_income,monthly_expense,education_expense,saving_rate,education_rate,has_emergency_fund,has_education_fund,has_basic_insurance,cashflow_score,education_score,protection_score,financial_health_score
13,15296,7292,6574,0.5232740585774058,0.4297855648535565,1,0,0,97,47,70,74
12,9739,8979,1314,0.0780367594208851,0.13492144984084609,1,0,1,73,44,97,71
4,31526,25456,10391,0.19253949121360148,0.3296009642834486,1,0,1,83,42,100,76
8,45837,26926,2779,0.4125706307131793,0.060627877042563866,0,0,1,97,52,67,74
13,25496,22971,11117,0.09903514276749294,0.43602918104800753,0,0,0,44,37,34,39
6,45170,43850,10811,0.029222935576710206,0.23934027009076822,0,1,1,62,66,70,66
14,46311,34877,19621,0.24689598583489883,0.42367903953704306,1,1,0,69,69,62,67
12,12163,8625,3626,0.29088218367179147,0.2981172408122996,1,1,0,79,75,69,75
3,55323,42156,16903,0.2380022775337563,0.30553296097463983,0,0,1,74,41,70,63
4,31788,24380,4423,0.23304391594312318,0.1391405561847238,0,0,0,63,51,38,52
7,42581,39037,14365,0.08322960945022428,0.33735703717620535,0,0,1,52,30,66,49
4,30156,14259,10138,0.5271587743732591,0.3361851704470089,0,0,0,78,45,40,57
12,45762,36080,8462,0.21157292076395262,0.1849132467986539,1,1,0,64,70,74,69
3,34386,26591,13616,0.22669109521316816,0.39597510614785086,0,0,0,56,43,35,45
11,14416,7315,5842,0.4925776914539401,0.4052441731409545,0,0,0,77,44,36,55
9,25380,26601,7954,-0.04810874704491726,0.31339637509850277,1,1,1,48,68,87,66
11,42807,24421,2363,0.4295091924218002,0.05520125213166071,0,0,0,92,51,46,66
12,10604,9844,1171,0.07167106752168993,0.11043002640513014,1,1,1,60,66,100,74
8,57274,30527,805,0.4670007333170374,0.014055243216817405,1,0,0,100,52,69,76
7,18338,15431,7330,0.15852328498200458,0.39971643581633765,1,0,1,71,38,96,68
13,49565,50252,9150,-0.013860587107838192,0.18460607283365277,1,1,0,49,71,59,59
11,54246,38424,18879,0.2916712753014047,0.34802566087822145,0,0,0,65,44,36,50
13,14736,12425,5086,0.15682681867535286,0.34514115092290987,1,0,0,68,41,56,56
10,30915,23911,13530,0.22655668769205886,0.4376516254245512,0,0,0,61,41,42,49
